run_id,protocol,n,seed,commit_hash,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu
casper-ffg-n16-uniform,casper-ffg,16,6,24a491a4,5000.000001000,5000.000001000,6.400000,80.700000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,7,24a491a4,5000.000001000,5000.000001000,6.400000,81.100000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,8,24a491a4,5000.000001000,5000.000001000,6.400000,82.250000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,9,24a491a4,5000.000001000,5000.000001000,6.400000,80.550000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,10,24a491a4,5000.000001000,5000.000001000,6.400000,78.000000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,11,24a491a4,5000.000001000,5000.000001000,6.400000,81.050000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,12,24a491a4,5000.000001000,5000.000001000,6.400000,78.150000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,13,24a491a4,5000.000001000,5000.000001000,6.400000,78.800000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,14,24a491a4,5000.000001000,5000.000001000,6.400000,77.650000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,15,24a491a4,5000.000001000,5000.000001000,6.400000,82.000000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,16,24a491a4,5000.000001000,5000.000001000,6.400000,82.400000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,17,24a491a4,5000.000001000,5000.000001000,6.400000,78.450000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,18,24a491a4,5000.000001000,5000.000001000,6.400000,79.600000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,19,24a491a4,5000.000001000,5000.000001000,6.400000,77.200000,19.101562,19.101562,117637.031250
casper-ffg-n25-uniform,casper-ffg,25,0,24a491a4,5000.000001000,5000.000001000,10.000000,77.400000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,1,24a491a4,5000.000001000,5000.000001000,10.000000,78.450000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,2,24a491a4,5000.000001000,5000.000001000,10.000000,80.500000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,3,24a491a4,5000.000001000,5000.000001000,10.000000,81.050000,29.280000,29.280000,122365.440000
