run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,adversary_strategy,adversary_node_count,byzantine_fraction,view_change_count,clipped_fraction,run_horizon_s,throughput_ratio
casper-ffg-n10,casper-ffg,10,17,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,33.266667,66.106667,10.938878,10.938878,12984.276553,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.013834,230.000,0.667112
casper-ffg-n10,casper-ffg,10,18,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,33.200000,67.180000,11.007831,11.007831,13257.881928,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.013861,230.000,0.665775
casper-ffg-n10,casper-ffg,10,19,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,31.866667,65.353333,11.285774,11.285774,13690.860251,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,2,0.200000,0,0.012397,230.000,0.639037
casper-ffg-n10,casper-ffg,10,0,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,23.866667,46.660000,11.549162,11.549162,15320.493855,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,3,0.330000,0,0.011050,230.000,0.478610
casper-ffg-n10,casper-ffg,10,1,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,24.866667,49.293333,11.326005,11.326005,15033.156032,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,3,0.330000,0,0.013228,230.000,0.498663
casper-ffg-n10,casper-ffg,10,2,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,23.333333,46.366667,11.977714,11.977714,15898.566857,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,3,0.330000,0,0.005682,230.000,0.467914
casper-ffg-n10,casper-ffg,10,3,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,24.666667,49.433333,11.534595,11.534595,14992.871351,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,3,0.330000,0,0.015957,230.000,0.494652
casper-ffg-n10,casper-ffg,10,4,poisson,512,0.0,100.0,366df826,150.0,510.000000000,510.000000000,24.600000,49.233333,11.507317,11.507317,15158.107317,1.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,3,0.330000,0,0.016000,230.000,0.493316
casper-ffg-n10,casper-ffg,10,5,poisson,512,0.0,100.0,366df826,150.0,nan,nan,25.133333,50.206667,11.346684,11.346684,14852.826525,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,3,0.330000,0,0.010499,230.000,0.504011
casper-ffg-n10,casper-ffg,10,6,poisson,512,0.0,100.0,366df826,150.0,nan,nan,24.400000,49.480000,11.572131,11.572131,15388.819672,0.000000,0.000000,nan,nan,nan,nan,nan,withhold-participation,3,0.330000,0,0.016129,230.000,0.489305
