run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,network_phase_id,e_delay_ms,slot_duration_ms,clipped_fraction,run_horizon_s,p_drop,finalized_instances,view_change_count,finalization_rate
casper-ffg-n10,casper-ffg,10,3,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,4,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,5,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,64571.023700047,64571.023700047,0.004000,1.514000,627.750000,627.750000,105791583.000000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,1,0,0.025000
casper-ffg-n10,casper-ffg,10,6,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,65567.913814466,65567.913814466,0.004000,1.513000,696.000000,696.000000,102886788.000000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,1,0,0.025000
casper-ffg-n10,casper-ffg,10,7,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62486.620606502,62486.620606502,0.024000,4.400000,81.000000,81.000000,17422516.000000,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,3,0,0.075000
casper-ffg-n10,casper-ffg,10,8,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,9,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,10,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62386.979050138,62386.979050138,0.013000,2.908000,149.538462,149.538462,31077714.461538,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,2,0,0.050000
casper-ffg-n10,casper-ffg,10,11,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,12,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
